,country,points,price,review_sentiment,variety
512,37.0,90,65.0,0.08,Nebbiolo
513,39.0,90,65.0,-0.16,Cabernet Sauvignon
514,39.0,90,20.0,0.21,Riesling
515,39.0,90,26.0,0.04,Riesling
516,39.0,90,30.0,0.28,Malbec
517,39.0,90,13.0,0.02,Cabernet Sauvignon
518,39.0,90,26.0,-0.06,Riesling
519,39.0,90,44.0,0.03,Pinot Noir
520,39.0,90,38.0,-0.4,Cabernet Sauvignon
521,39.0,90,28.0,0.15,Pinot Noir
522,39.0,90,32.0,0.0,Chardonnay
523,37.0,90,50.0,0.0,Syrah
524,37.0,90,35.0,-0.0,Syrah
525,39.0,90,35.0,-0.17,Cabernet Sauvignon
526,39.0,90,42.0,0.02,Syrah
527,37.0,90,70.0,-0.17,Red Blend
528,39.0,90,30.0,0.0,Cabernet Sauvignon
529,39.0,90,75.0,0.08,Pinot Noir
530,37.0,90,53.0,-0.06,Nebbiolo
531,39.0,90,29.0,0.1,Chardonnay
532,39.0,91,90.0,0.6,Cabernet Sauvignon
533,39.0,91,35.0,0.14,Red Blend
534,32.0,91,35.0,0.16,Red Blend
535,39.0,91,50.0,0.18,Malbec
536,37.0,91,35.0,0.06,Red Blend
537,39.0,91,65.0,0.21,Cabernet Franc
538,28.0,91,50.0,0.15,Sauvignon Blanc
539,37.0,91,43.0,-0.02,Red Blend
540,30.0,91,28.0,0.22,Sauvignon Blanc
541,39.0,91,20.0,0.03,Bordeaux-style Red Blend
542,38.0,91,65.0,0.12,Rosé
543,38.0,91,17.0,0.32,Rosé
544,38.0,91,36.78122437966355,0.39,Rosé
545,38.0,91,20.0,0.26,Rosé
546,30.0,91,28.0,0.09,Sauvignon Blanc
547,38.0,91,20.0,0.38,Rosé
548,38.0,91,20.0,0.24,Rosé
549,38.0,91,25.0,0.02,Rosé
550,39.0,91,38.0,-0.11,Zinfandel
551,30.0,91,120.0,-0.06,Pinot Noir
552,39.0,91,23.0,0.12,Sauvignon Blanc
553,39.0,91,48.0,0.25,Pinot Noir
554,39.0,91,32.0,0.24,Pinot Noir
555,30.0,91,50.0,0.04,Pinot Noir
556,33.0,91,28.0,0.11,Red Blend
557,30.0,91,30.0,-0.19,Pinot Noir
558,38.0,91,25.0,0.24,Rosé
559,36.0,85,8.0,0.43,Portuguese White
560,38.0,85,15.0,0.22,Chardonnay
561,36.0,85,22.0,0.4,Rosé
562,33.0,85,14.0,0.23,Cabernet Sauvignon
563,36.0,85,8.0,0.29,Portuguese White
564,37.0,85,80.0,-0.16,Nebbiolo
565,36.0,85,9.0,0.2,Rosé
566,39.0,85,13.0,0.06,Pinot Noir
567,36.0,85,10.0,0.39,Portuguese White
568,39.0,85,16.0,0.4,Cabernet Sauvignon
569,38.0,85,10.0,0.33,Chardonnay
570,38.0,85,22.0,0.26,Pinot Noir
571,38.0,85,40.0,-0.2,Pinot Noir
572,39.0,85,32.0,0.07,Tempranillo
573,36.0,85,12.0,0.23,Rosé
